control_name,zh_TW,zh_CN,en,ja
sf_empty_list,尚無已知的 SoundFont。請從首頁點選 .sf2 檔案或手動新增。,尚无已知的 SoundFont。请从首页点击 .sf2 文件或手动添加。,No known SoundFonts yet. Tap a .sf2 file in Home or add manually.,サウンドフォントが登録されていません。ホームから追加してください。
sf_btn_add_manual,手動選取 SoundFont 檔案,手动选取 SoundFont 文件,Pick SoundFont File,ファイルから追加
sf_status_active,使用中,使用中,Active,使用中
sf_btn_set_active,設為使用中,设为使用中,Set Active,有効化
sf_btn_remove,從清單移除,从列表移除,Remove,削除
sf_toast_added,已將 SoundFont 加入已知清單並啟用,已将 SoundFont 添加到已知列表并启用,SoundFont added to known list and activated,サウンドフォントを登録して有効化しました
sf_toast_switched,已切換當前 SoundFont,已切换当前 SoundFont,Switched active SoundFont,サウンドフォントを切り替えました
sf_toast_removed,已從已知清單移除 SoundFont,已从已知列表移除 SoundFont,Removed SoundFont from list,サウンドフォントを削除しました
sf_load_error,加載 SoundFont 失敗，請確認檔案格式是否正確,加载 SoundFont 失败，请确认文件格式是否正确,Failed to load SoundFont. Please verify file format.,サウンドフォントの読み込みに失敗しました
sf_toast_lib_missing,已設定預設音色庫，但 FluidSynth 動態庫尚未載入。請先在「設定」中配置動態庫。,已设置默认音色库，但 FluidSynth 动态库尚未加载。请先在“设置”中配置动态库。,SoundFont selected, but FluidSynth is not loaded. Please configure it in Settings.,サウンドフォントを設定しましたが、FluidSynth が読み込まれていません。設定で設定してください。

settings_page_title,軟體設定與庫管理,软件设置与库管理,Settings & Library,設定とライブラリ管理
settings_section_lib,FluidSynth 動態庫狀態,FluidSynth 动态库状态,FluidSynth Library Status,FluidSynth ライブラリの状態
settings_lib_status_loaded,已成功載入動態庫,已成功加载动态库,Library Loaded Successfully,ライブラリは正常に読み込まれました
settings_lib_status_failed,未載入動態庫，請手動旁加載,未加载动态库，请手动旁加载,Library Not Loaded. Please Sideload.,ライブラリが未読み込みです。手動で読み込んでください。
settings_lib_path,載入路徑,加载路径,Library Path,読み込みパス
settings_lib_version,庫版本號,库版本号,Library Version,ライブラリバージョン
settings_lib_sideload_btn,手動旁加載 FluidSynth 庫,手动旁加载 FluidSynth 库,Sideload FluidSynth Library,FluidSynthを手動読み込み
settings_lib_sideload_tip,支援選取 .dll (Win) / .dylib (macOS) / .so (Linux/Android),支持选取 .dll (Win) / .dylib (macOS) / .so (Linux/Android),Supports .dll (Win) / .dylib (macOS) / .so (Linux/Android),.dll (Win) / .dylib (macOS) / .so (Linux/Android) を選択可能
settings_lib_reset_btn,恢復預設 / 內置庫路徑,恢复默认 / 内置库路径,Reset to Default / Bundled Library,デフォルトに戻す
settings_section_audio,音訊驅動設置,音频驱动设置,Audio Driver Settings,オーディオドライバ設定
settings_audio_driver_label,音訊驅動類型,音频驱动类型,Audio Driver,オーディオドライバ
settings_btn_test_sound,發聲測試 (Play C4),发声测试 (Play C4),Test Sound (Play C4),サウンドテスト (Play C4)
settings_test_sound_success,已發送測試音符,已发送测试音符,Test note sent successfully,テスト音を送信しました
settings_test_sound_failed,發聲測試失敗，請檢查庫與 SoundFont,发声测试失败，请检查库与 SoundFont,Sound test failed. Check library and SoundFont.,サウンドテストに失敗しました
settings_section_i18n,語言與本地化適配,语言与本地化适配,Language & Localization,言語とローカライズ
settings_language_label,介面語言,界面语言,Interface Language,インターフェース言語
settings_lang_auto,跟隨系統,跟随系统,System Default,システムに従う
settings_i18n_show_keys,本地化適配模式：直接顯示控件名稱,本地化适配模式：直接显示控件名称,Adaptation Mode: Show Control Names Directly,適応モード：コントロール名を直接表示
settings_i18n_show_keys_desc,開啟後介面將直接顯示 CSV 中的 control_name，方便對照與調試,开启后界面将直接显示 CSV 中的 control_name，方便对照与调试,Displays CSV control_name in UI to facilitate verification and mapping,UIにCSVのcontrol_nameを表示し、翻訳や調整を容易にします
